Name,Variety_Code,Crop_Type,Days_to_Maturity,Days_to_Transplant,Direct_Sow,Succession_Interval,Description
"F1 Providence",VCA120,Cabbage,60,21,No,21,"F1 Providence                    VCA085 F1 Rigoletto                           £34.20    £54.75"
Brunswick,VCA180,Cabbage,60,21,No,21,"Brunswick               YP     VCA145 F1 Marabel"
"F1 Stromboli",VCA345,Cabbage,60,21,No,21,"F1 Stromboli                     Stem Type Varieties"
"F1 Covina",VOG144,Cabbage,60,21,No,21,"F1 Covina                       VCA328 F1 Zen (not shown)"
Kale,VCA342,Cabbage,60,21,No,21,Kale
"F1 Marathon",VCA325,Cabbage,60,21,No,21,"F1 Marathon                                                              Crops best in autumn, from a June       Technically a sprouting kale, this"
"F1 Kimono",VCA322,Cabbage,60,21,No,21,"F1 Kimono"
Green,VCA344,Cabbage,60,21,No,21,"Green NEW"
"F1 Monclano",VCA320,Cabbage,60,21,No,21,"F1 Monclano                      good colour and sweet flavour."
"F1 Ironman",VCA330,Cabbage,60,21,No,21,"F1 Ironman                               2,500sd 10,000sd                domed head with a good bead;"
"Green Sprouting",VCA360,Cabbage,60,21,No,21,"Green Sprouting"
"F1 Titanium",VCA332,Cabbage,60,21,No,21,"F1 Titanium                                                              Sow April for cutting in early"
"F1 Steel",VCA334,Cabbage,60,21,No,21,"F1 Steel                        August."
White,VCA346,Cabbage,60,21,No,21,"White NEW"
"Green Sprouting",VOG146,Cabbage,60,21,No,21,"Green Sprouting                  Matures after approximately 60-"
"F1 Rainbow",VCA392,Carrot,60,21,No,21,"F1 Rainbow"
"F1 Redsun",VCA401,Carrot,60,21,No,21,"F1 Redsun                                                      VCA381 F1 Red Samurai"
Mercurio,,Carrot,60,21,No,21,Mercurio
"F1 Mercurio",VCA368,Carrot,60,21,No,21,"F1 Mercurio"
"F1 White Satin",VCA389,Carrot,60,21,No,21,"F1 White Satin                                             VCA393 F1 Yellowstone                                                 VCA397 F1 Purple Sun"
"F1 Mercurio",VCA369,Carrot,60,21,No,21,"F1 Mercurio                       compared to other white root                                      skin and flesh, with some greening                                    Adds colour to salads and the like"
"F1 Laguna",VCA365,Carrot,60,21,No,21,"F1 Laguna"
"A Nantes",,Carrot,60,21,No,21,"A first early Nantes type ideal for       Variety                                                                                              Maturity                                                    Main Uses"
"Early,",VCA365,Carrot,60,21,No,21,"Early, 2nd Early                                             Bunching, Ware"
"F1 Flyaway",VCA375,Carrot,60,21,No,21,"F1 Flyaway                         Napoli VOG175                                              organic option                     2nd Early, Maincrop                                             Bunching, Ware"
"Maincrop, Late",VCA405,Carrot,60,21,No,21,"Maincrop, Late                                        Bunching, Processing, Ware"
"Maincrop, Late",VCA377,Carrot,60,21,No,21,"Maincrop, Late                                         Bunching, Pre-pack, Ware"
"Maincrop, Late, Overwintering",VCA384,Carrot,60,21,No,21,"Maincrop, Late, Overwintering                                         Pre-pack, Ware"
organic,VOG178,Carrot,60,21,No,21,"organic option               Maincrop, Late, Overwintering                                         Pre-pack, Ware"
"Maincrop, Late, Overwintering",VCA383,Carrot,60,21,No,21,"Maincrop, Late, Overwintering                                   Bunching, Pre-pack, Ware"
"Maincrop, Late, Overwintering",VCA422,Carrot,60,21,No,21,"Maincrop, Late, Overwintering                                   Bunching, Pre-pack, Ware"
"F1 Sylvano",VCA383,Carrot,60,21,No,21,"F1 Sylvano"
"A Nantes Kuroda",,Carrot,60,21,No,21,"A Nantes x Kuroda hybrid,"
Sugarsnax,,Carrot,60,21,No,21,"Sugarsnax 54"
"F1 Resistafly",VCA382,Carrot,60,21,No,21,"F1 Resistafly"
Nantes,,Carrot,60,21,No,21,"Nantes type with good tolerance                                                  Octavo"
"F1 Nazareth",VCA384,Carrot,60,21,No,21,"F1 Nazareth"
"F1 Sugarsnax",VCA416,Carrot,60,21,No,21,"F1 Sugarsnax 54                  2,500sd 5,000sd 10,000sd"
"An Imperator",,Carrot,60,21,No,21,"An Imperator variety that                                                   foliage. The Nantes type roots are"
"F1 Octavo",VCA422,Carrot,60,21,No,21,"F1 Octavo"
"A Nantes",,Carrot,60,21,No,21,"A high yielding Nantes variety"
"F1 Napoli",VOG175,Carrot,60,21,No,21,"F1 Napoli (not shown)"
"A Nantes",,Carrot,60,21,No,21,"A good quality Nantes variety,                                                                                        2,500sd 5,000sd 10,000sd"
"F1 Charisma",VCA405,Carrot,60,21,No,21,"F1 Charisma                                                              £4.85      £8.25      £15.45"
Amsterdam,VCA400,Carrot,60,21,No,21,Amsterdam
"F1 Miami",VOG178,Carrot,60,21,No,21,"F1 Miami                         early-maturing with slim roots."
"F1 Eskimo",VCA402,Carrot,60,21,No,21,"F1 Eskimo (not shown)"
"F1 Maestro",VCA377,Carrot,60,21,No,21,"F1 Maestro                    Good colour and excellent flavour."
"F1 Norwich",VCA428,Carrot,60,21,No,21,"F1 Norwich                      An excellent maincrop Nantes type    Strong tops for lifting. Intermediate"
"An Nantes",,Carrot,60,21,No,21,"An excellent Nantes variety            which shows good establishment       resistance to cavity spot and very"
Karotela,VCA409,Carrot,60,21,No,21,Karotela
"F1 Eskimo",VCA403,Carrot,60,21,No,21,"F1 Eskimo                        sweet flavour. Sowing to harvest"
Amsterdam,VCA417,Carrot,60,21,No,21,"Amsterdam 2 Maxi"
Sylvano,,Carrot,60,21,No,21,Sylvano
Berlicum,VCA390,Carrot,60,21,No,21,"Berlicum 2"
Chantenay,VCA420,Carrot,60,21,No,21,Chantenay
"Early Nantes",VCA410,Carrot,60,21,No,21,"Early Nantes 2                                             An open pollinated variety suitable                                   (not shown)"
"Autumn King",VCA380,Carrot,60,21,No,21,"Autumn King 2"
Berlicum,VOG155,Carrot,60,21,No,21,"Berlicum 2                                                      £2.60      £4.80       £8.85"
